"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"580",2014-11-17 17:45:00,"MOVING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"581",2014-11-17 18:00:00,"RESTING/FORAGING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"582",2014-11-18 06:00:00,"FORAGING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"583",2014-11-18 06:15:00,"VOCALIZING/","<50/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"584",2014-11-18 06:30:00,"MOVING/FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"585",2014-11-18 06:45:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"586",2014-11-18 07:00:00,"FORAGING/","<25/","DAO","DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/"
"587",2014-11-18 07:15:00,"MOVING/FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"588",2014-11-18 07:30:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"589",2014-11-18 07:45:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"590",2014-11-18 08:00:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"591",2014-11-18 08:15:00,"RESTING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"592",2014-11-18 08:30:00,"RESTING/FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"593",2014-11-18 08:45:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"594",2014-11-18 09:00:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"595",2014-11-18 09:15:00,"RESTING/FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
